building_id,building_num,n_zones,b,A_lag1,B_lag1,c_lag1,D_lag1_s1,D_lag1_s2,D_lag1_s3,D_lag1_s4,D_lag1_s5,D_lag1_s6,D_lag1_s7,D_lag1_s8,D_lag1_s9,A_lag2,B_lag2,c_lag2,D_lag2_s1,D_lag2_s2,D_lag2_s3,D_lag2_s4,D_lag2_s5,D_lag2_s6,D_lag2_s7,D_lag2_s8,D_lag2_s9,A_lag4,B_lag4,c_lag4,D_lag4_s1,D_lag4_s2,D_lag4_s3,D_lag4_s4,D_lag4_s5,D_lag4_s6,D_lag4_s7,D_lag4_s8,D_lag4_s9,A_lag8,B_lag8,c_lag8,D_lag8_s1,D_lag8_s2,D_lag8_s3,D_lag8_s4,D_lag8_s5,D_lag8_s6,D_lag8_s7,D_lag8_s8,D_lag8_s9,A_lag32,B_lag32,c_lag32,D_lag32_s1,D_lag32_s2,D_lag32_s3,D_lag32_s4,D_lag32_s5,D_lag32_s6,D_lag32_s7,D_lag32_s8,D_lag32_s9
ep_SFH_age_0_climate_3_1081,1081,9,0.6134444444444445,0.9562461777777779,0.3663333333333333,0.008364444444444445,0.003727777777777778,0.00032327777777777775,7.696666666666666e-05,0.00011259333333333335,0.0001801222222222222,5.055666666666667e-05,0.0021666666666666666,0.0,0.0006611111111111111,0.0,0.0,0.0,3.888888888888889e-06,0.0004899222222222222,0.00023828552222222217,0.00015096666666666666,8.574444444444443e-05,7.433333333333333e-07,0.0,0.0006833333333333333,0.0,0.0,0.0,0.0,0.0,0.00024577777777777776,0.0001290761111111111,9.995555555555554e-05,0.0,2.0444444444444446e-05,0.0001377777777777778,0.0,0.0004222222222222222,0.0,0.004677777777777778,0.0,0.0010400000000000001,0.00030663777777777774,8.218666666666667e-05,5.612888888888888e-05,0.0,1.5738e-05,0.0,0.0,0.0,0.0009016666666666667,0.054441111111111114,0.00629,0.0004977777777777778,0.00018477777777777777,4.028666666666666e-05,3.6472222222222224e-05,4.3777777777777775e-05,5.246666666666667e-05,0.0,0.0,0.0
ep_SFH_age_0_climate_3_1123,1123,10,0.7083999999999999,0.9524133999999999,0.3304000000000001,0.008029,0.000145,0.0009346000000000001,0.0003709502,0.00030323000000000004,0.00032377,0.00025770000000000003,0.0011314,0.00060768,0.0,0.0,0.040920000000000005,0.0,0.00057,0.0006214,0.000133831,0.00011405999999999999,0.00011486000000000001,1.997e-06,0.00113,0.0004222,0.000753,0.0,0.0,0.0,0.000184,0.00022746899999999997,2.9957999999999997e-05,5.226099999999999e-05,7.1377e-05,2.29e-08,0.000135,5.86e-05,0.0,0.000233,0.000521,0.0,0.0007770000000000001,9.366e-06,2.4452000000000003e-06,2.3644999999999998e-05,1.1033999999999999e-06,3.4739e-05,0.0,0.0,0.0,0.0009180000000000001,0.030940000000000002,0.0046954,0.0,0.00016428200000000002,6.250099999999999e-05,5.4582999999999996e-05,3.910799999999999e-05,4.4803e-05,0.0,0.0,0.0
ep_SFH_age_0_climate_4_1072,1072,10,0.8020999999999999,0.9465928,0.36950000000000005,0.010049,0.0,0.00093,0.00040177799999999993,0.00037346700000000005,0.000327732,0.00019966999999999996,0.0005801,0.0016805799999999999,0.0005629999999999999,0.0,0.061470000000000004,0.0,0.0,0.0007505999999999999,0.000119921,4.854e-05,3.5096e-05,3.2943e-05,0.0,0.00072122,0.0012959999999999998,0.0,0.0,0.0,0.00042199999999999996,0.00044156,0.00016142400000000002,7.022e-05,3.41729e-05,7.193999999999999e-06,0.00037529999999999996,0.0,0.00030000000000000003,6.78e-05,0.00238,0.0,0.0,0.00010835,9.39125e-05,6.761299999999998e-05,1.925e-06,2.9528999999999998e-05,0.00041999999999999996,0.0,0.0,0.0008669,0.023657,0.007012,0.0,0.00017580999999999999,4.0436e-05,2.8908e-05,9.776e-06,1.8151000000000003e-05,0.000633,0.0,8.14e-05
ep_SFH_age_0_climate_4_1688,1688,10,0.49365,0.9632984,0.32186000000000003,0.004807,0.0,0.0007798999999999999,0.00031963,0.00029605,0.00019828999999999997,0.00015678,0.0003602,0.004739999999999999,0.000109,3.97e-05,0.04301,0.0,0.00016199999999999998,0.00055716,9.235e-05,4.376e-05,6.786300000000001e-05,9.569999999999999e-08,0.00045920000000000005,0.00116,0.0,0.0,0.0,0.0,0.0,0.000318861,0.00011477999999999998,6.3771e-05,6.0979999999999996e-05,1.7000000000000001e-07,0.0,3.8299999999999996e-05,0.000535,0.0006001,0.00388,0.0,0.0,2.2169e-05,7.209999999999999e-06,2.1873e-05,6.67e-06,1.7460000000000002e-05,0.0002897,2.51e-06,0.0,0.0020939,0.026972300000000005,0.007738,0.0,0.000122889,4.255e-05,2.917e-05,9.833e-06,1.702e-05,0.0,0.0,0.0
ep_SFH_age_0_climate_4_1709,1709,5,1.0238,0.938874,0.33146,0.010374,0.000552,0.0009254,0.00028114000000000004,0.000239594,0.00018754,0.00011152,0.000708,0.0,0.0,0.0,0.0,0.0,0.0,0.0008154,0.00017864,9.681e-05,0.00010439999999999998,0.0,0.0016439999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0003712,0.00010468000000000001,3.4880000000000005e-05,5.5934e-05,0.0,0.00022200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,3.32e-05,1.932e-05,9.708e-06,0.0,2.48e-05,0.0007559999999999999,0.0,0.0,0.00023135999999999998,0.023200000000000002,0.005239999999999999,0.0,0.00011520000000000001,2.6480000000000004e-05,2.4699999999999997e-05,2.26e-06,0.0,0.0,0.00019559999999999998,0.0
ep_SFH_age_0_climate_5_417,417,21,0.1082809523809524,0.9803599523809523,0.26113333333333333,0.005366714285714285,0.0032096576190476195,0.0009617257142857143,0.00043493333333333324,0.0003801714285714285,0.00032547619047619054,0.0002049152380952381,0.0,0.0005714285714285715,0.0001301904761904762,0.0015666666666666665,0.005816857142857143,0.0,0.00036171428571428574,0.0007345523809523809,0.00015682385714285715,0.00015569571428571428,0.00022669038095238095,0.0,0.0,0.00032047619047619047,0.0,0.0,0.002414285714285714,0.0,0.00017285714285714287,0.00030299285714285715,6.15195238095238e-05,6.066190476190475e-06,3.550095238095238e-05,1.1952380952380952e-07,0.0,0.00011,0.0003261904761904762,0.0,0.010342380952380954,0.0003995238095238095,0.0,3.255857142857143e-05,1.0052380952380951e-05,1.606052380952381e-05,3.4378571428571426e-06,4.550366666666667e-05,0.0,0.0,0.0,0.0021103333333333334,0.02154571428571429,0.0063215709523809505,0.00037190476190476193,0.00017014490476190478,5.534e-05,4.6664761904761896e-05,2.5484761904761906e-05,2.0374e-05,0.0002957142857142857,0.0,0.0
ep_SFH_age_0_climate_5_758,758,5,0.8384,0.9473018000000002,0.34676,0.012176000000000001,0.0,0.0007897999999999999,0.00034916000000000005,0.00029249999999999995,0.00026144,0.00018225999999999998,0.000988,0.0,0.0,0.0,0.0,0.0,0.0,0.000585,8.738599999999999e-05,7.77e-05,9.218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030138,4.1964e-05,0.0,4.9149999999999995e-05,0.0,0.0,0.000244,0.000117,0.0001464,0.0,0.0,0.0,2.6e-05,0.0,0.0,0.0,3.0288e-05,0.000946,0.0,0.0,0.0009569999999999998,0.007565999999999999,0.0034622,0.0,0.0001266,3.803e-05,3.0698e-05,1.8656e-05,3.5380000000000003e-05,0.0,0.0,0.0
ep_SFH_age_0_climate_5_928,928,15,0.5617866666666667,0.9601970666666666,0.339,0.009944733333333334,0.00015199999999999998,0.00044796133333333335,0.0003945886666666666,0.00036348733333333333,0.00038647999999999997,0.0003139866666666667,0.00033400000000000004,0.0007906666666666667,0.0006366666666666667,0.00022945333333333333,0.06396,0.0,0.00034206666666666667,0.000553482,6.808666666666667e-05,6.753199999999999e-05,9.934600000000001e-05,1.3666666666666665e-07,0.0006586666666666667,6.2e-05,5.9533333333333335e-05,0.0,0.0,0.0,3.3933333333333336e-05,0.00014912133333333335,2.6663333333333333e-05,5.0748e-05,7.4806e-05,1.04e-07,0.0,0.000184,0.0003726666666666667,0.0,1.7066666666666667e-05,0.0,0.000718,1.2435386666666666e-05,3.82e-06,1.3516e-05,4.0399999999999996e-07,4.1066666666666664e-05,0.0,0.0,0.0,0.00176138,0.02164,0.003084000000000001,0.0,0.0001545666666666667,4.61e-05,4.2413333333333336e-05,2.6612666666666667e-05,2.3348666666666665e-05,0.0,0.0,0.0
ep_SFH_age_1_climate_0_42,42,5,0.7332,0.9531212,0.26983999999999997,2.04e-05,0.0,0.00032545999999999996,6.138000000000001e-05,0.00010262000000000002,3.252e-05,2.54558e-05,0.0,0.0,0.0,0.0,0.0,0.0022600000000000003,0.000704,0.0001946,0.00033748000000000003,0.00032834,7.08e-08,0.0,0.0,0.0,0.0,0.0,0.000272,3.66e-05,0.001322,1.2419999999999998e-05,0.00022318000000000004,0.00012163999999999998,2.22e-05,1.568e-05,0.0,0.0,0.0,0.0,0.00064,0.000298,0.0,0.00043564,6.7e-05,1.54e-06,1.3320000000000001e-05,6.720000000000001e-06,0.0,0.00043099999999999996,0.0,0.0001564,0.01252,0.0036879999999999994,7.12e-05,2.9977999999999997e-05,4.6534e-05,2.8072000000000005e-05,1.25e-05,1.3334e-05,0.0,0.0,0.000424
ep_SFH_age_1_climate_0_168,168,10,0.7191,0.9537375700000001,0.26497000000000004,0.0008782,0.00033,0.0009797,0.00034614000000000004,0.00025427,0.00026374000000000005,0.00021322,0.000259,0.0,0.001045,0.0007662999999999999,0.053709999999999994,2.23e-05,0.000192,0.000826,0.00018172,0.000163057,0.0001705883,0.0,0.000492,0.0,0.000414,0.0,0.0,4.17e-06,0.001509,0.0004111,0.00010179,0.00011964699999999999,0.000149229,0.0,0.0,0.0,0.000141,4.85e-05,0.00126,0.00019660000000000004,0.0,1.995e-06,1.8e-07,2.0279e-05,1.649e-06,2.0985e-05,0.0,0.0,0.00034199999999999996,0.0006809,0.02207,0.007549999999999999,0.0,0.00014441299999999997,9.525e-05,5.28956e-05,1.94e-05,1.645e-05,0.00029,0.00040819999999999995,0.0021920000000000004
ep_SFH_age_1_climate_0_249,249,15,0.5723333333333334,0.9627819146666667,0.2404666666666667,0.0007894666666666667,5.932666666666667e-05,0.000930933333333333,0.00033237333333333333,0.0002836333333333333,0.0002795533333333333,0.00018642693333333334,3.6e-05,9.266666666666666e-05,0.0,2.3533333333333334e-05,0.058899999999999994,0.0,0.00018719999999999997,0.0006768666666666667,0.00013152666666666667,0.00016371333333333336,0.00015544666666666667,0.0,0.0,0.0,7.999999999999999e-05,0.0,0.0004773333333333333,0.0,0.000232,0.00036626,7.102e-05,0.00010474,7.797333333333331e-05,9.946666666666666e-06,0.0,1.9866666666666664e-05,0.0,0.0,0.00224,0.0,0.0,0.0,4.392e-06,3.3968666666666665e-05,0.0,1.6018666666666666e-05,0.0,3.1666666666666667e-06,0.0,0.00105976,0.009905333333333334,0.005958066666666666,0.0,7.946933333333334e-05,7.3176e-05,4.4e-05,1.4282666666666668e-05,4.162666666666666e-06,0.0,0.0,0.000732
ep_SFH_age_1_climate_1_32,32,10,0.8968000000000002,0.9436227,0.30604,0.0072188,0.0,0.00045659000000000004,0.0003602999999999999,0.00032127,0.0002751917,0.00024124,0.00010300000000000001,0.000322,0.0015990000000000002,0.0,0.0261,0.0,0.0,0.00045719999999999995,0.00017409,0.00012321630000000001,0.00011147599999999997,2.22e-08,0.0,0.0004328,0.000703,0.0,0.0,0.0,0.000329,0.00030705,0.00010109,5.1539e-05,9.499999999999999e-05,6.33e-08,0.00025600000000000004,0.00045620000000000003,0.001012,3.15e-05,0.0018100000000000002,0.00138,0.0,3.86e-05,4.833e-06,5.2550000000000005e-06,0.0,2.22789e-05,0.0,0.000379,0.0,0.0005603,0.009465000000000001,0.0058000000000000005,0.0,9.858999999999999e-05,3.287e-05,1.6496000000000003e-05,6.8039999999999996e-06,9.38e-06,0.0,0.0,0.0
ep_SFH_age_1_climate_1_429,429,21,0.6039523809523809,0.9575257904761905,0.2581809523809524,0.0038018571428571433,0.002242952380952381,0.0009319333333333332,0.0004135476190476191,0.0003600666666666666,0.00036316666666666675,0.00030098290476190476,0.0,0.0,0.0004504761904761905,0.0006228571428571429,0.04285714285714286,0.0,9.428571428571429e-05,0.0004707857142857143,0.00010196285714285712,0.00015920000000000002,0.00013084509523809523,0.0,0.00023095238095238095,0.0002919047619047619,0.00018842857142857146,0.0,0.00016952380952380951,0.0,0.003405238095238095,0.00016964761904761906,3.1876190476190475e-05,6.789999999999998e-05,7.400142857142857e-05,4.3857142857142854e-08,0.0,0.0003685714285714286,0.00036700000000000003,2.5523809523809525e-06,0.02395904761904762,0.0,0.0,8.102857142857142e-06,5.15047619047619e-06,1.6931428571428567e-05,0.0,1.9676190476190477e-05,6.80952380952381e-05,3.7e-06,0.0,0.0009495619047619049,0.03271333333333334,0.007958561904761905,0.0,0.00011683619047619047,5.7881571428571436e-05,3.571428571428572e-05,1.4341428571428572e-05,1.5516666666666667e-05,0.00012047619047619049,0.0006095238095238096,0.00011904761904761905
